Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./torus_matrix_parrows_normalmap 32 512 64 200 +RTS -N512",78.33928889692069,64.42894849370185,86.51555309449544,12.591378499708057,0.0,14.161705006305866
"bench/./torus_matrix_eden_normalmap 32 512 64 200 +RTS -N512",96.12211063358139,70.37535342064638,113.97606859940534,26.840774337376974,0.0,30.92396231300619
"bench/./torus_matrix_parrows_normalmap 32 512 64 200 +RTS -N256",54.883174021095364,54.34365932928299,55.16735872142997,0.4692338585537835,0.0,0.49222233971327795
"bench/./torus_matrix_eden_normalmap 32 512 64 200 +RTS -N256",53.63668158297356,53.40468907591838,53.84246103842966,0.3360276813509954,0.0,0.35642047200381843
"bench/./torus_matrix_parrows_normalmap 32 512 64 200 +RTS -N128",37.7016898758278,37.633631379398466,37.73858610585071,5.956463266373088e-2,0.0,6.390614500740618e-2
"bench/./torus_matrix_eden_normalmap 32 512 64 200 +RTS -N128",35.092701825042475,34.9644029494741,35.17591648521457,0.12496717747626818,0.0,0.14413201935264525
"bench/./torus_matrix_parrows_normalmap 32 512 64 200 +RTS -N64",38.856816901140654,38.64143145895187,38.98860716481938,0.20004847052046557,0.0,0.22826743263445298
"bench/./torus_matrix_eden_normalmap 32 512 64 200 +RTS -N64",34.9205333449136,34.87837304366654,34.956943910499014,5.872233695167617e-2,0.0,6.306494952626686e-2
"bench/./torus_matrix_parrows_normalmap 32 512 64 200 +RTS -N32",39.32053703735925,38.98083662430707,39.496759584423216,0.29480966484537974,0.0,0.3052264049539808
"bench/./torus_matrix_eden_normalmap 32 512 64 200 +RTS -N32",33.667837067495114,33.44659423024638,33.803270678236885,0.20555315291777837,0.0,0.23457789485724906
"bench/./torus_matrix_parrows_normalmap 32 1024 64 200 +RTS -N512",78.00631482649628,44.67463898477977,101.84489146881786,36.003945446441925,0.0,41.28962592462568
"bench/./torus_matrix_eden_normalmap 32 1024 64 200 +RTS -N512",59.026551830518486,54.527564983869844,61.979397402282,4.430914148024571,0.0,5.114478557199169
"bench/./torus_matrix_parrows_normalmap 32 1024 64 200 +RTS -N256",36.91667202688165,36.78424760891026,36.99160201654295,0.11762723815285177,0.0,0.1297825491039857
"bench/./torus_matrix_eden_normalmap 32 1024 64 200 +RTS -N256",35.361346962901365,33.56221766772631,36.82089025810905,2.2912517185334242,0.0,2.5280031431462198
"bench/./torus_matrix_parrows_normalmap 32 1024 64 200 +RTS -N128",34.34979171030463,33.526270389593485,35.092341861112466,1.2220620717428357,0.0,1.2861345883671056
"bench/./torus_matrix_eden_normalmap 32 1024 64 200 +RTS -N128",33.09463488899204,31.982764541664597,33.75269589867769,1.0104746060135024,0.0,1.1397951032556304
"bench/./torus_matrix_parrows_normalmap 32 1024 64 200 +RTS -N64",34.821368391716966,33.73513584649746,35.50864519043744,1.0353579923471856,0.0,1.1903983342471356
"bench/./torus_matrix_eden_normalmap 32 1024 64 200 +RTS -N64",31.9775148382186,30.987742748148083,32.67461625832672,1.0501219519439837,0.0,1.2074150776556807
"bench/./torus_matrix_parrows_normalmap 32 1024 64 200 +RTS -N32",34.10702669448562,33.45943172031327,34.614044456779304,0.7852779515267129,0.0,0.8781805246325345
"bench/./torus_matrix_eden_normalmap 32 1024 64 200 +RTS -N32",30.283958173137894,29.564931819708523,30.89927330266183,0.9882615667138306,0.0,1.0657570670012766
"bench/./torus_matrix_parrows_normalmap 64 1024 128 200 +RTS -N512",292.3215057035373,267.1316166408909,307.4286481033695,23.080254037080984,0.0,26.1663381936873
"bench/./torus_matrix_eden_normalmap 64 1024 128 200 +RTS -N512",292.09534559418375,283.9536659303396,296.79350783959575,7.297740164303718,0.0,8.137455711255452
"bench/./torus_matrix_parrows_normalmap 64 1024 128 200 +RTS -N256",180.56436414855048,176.9202942895046,183.75321904274043,5.174283061015866,3.4809342861069267e-14,5.523258694701643
"bench/./torus_matrix_eden_normalmap 64 1024 128 200 +RTS -N256",173.49427039666548,171.1704076882726,175.0149711576821,2.282256077004763,0.0,2.6339309811894225
"bench/./torus_matrix_parrows_normalmap 64 1024 128 200 +RTS -N128",183.2046223135751,177.92881937514926,186.72744968336306,5.284261266194503,0.0,6.101715990766933
"bench/./torus_matrix_eden_normalmap 64 1024 128 200 +RTS -N128",166.59468240408674,161.86715518595554,169.00266266948384,4.096307021318441,0.0,4.170744163290999
"bench/./torus_matrix_parrows_normalmap 64 1024 128 200 +RTS -N64",179.34569874435695,178.40335536704347,179.99822484748145,0.9808226615435494,0.0,1.1302083638765315
"bench/./torus_matrix_eden_normalmap 64 1024 128 200 +RTS -N64",158.50842344092237,155.53460720652618,160.90016506946793,3.7418177930365553,0.0,4.142618019218423
"bench/./torus_matrix_parrows_normalmap 64 1024 128 200 +RTS -N32",197.65865954481305,196.0029508062073,198.6159068899066,1.4855004038966904,0.0,1.6580010371124125
"bench/./torus_matrix_eden_normalmap 64 1024 128 200 +RTS -N32",179.1547426609719,173.34218047376658,183.02355859929926,5.8032464475394745,0.0,6.700985770315237
