Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./skelrm-eden-cp 11213 32 +RTS -N16",2.7995460966461554,2.678840002140218,2.8941272856835387,0.14653177862935773,0.0,0.16381942485302445
"bench/./skelrm-eden-cp 11213 32 +RTS -N8",5.1620478680423885,5.158003723296431,5.164916853194602,4.3268558267378415e-3,0.0,4.969228049794945e-3
"bench/./skelrm-eden-cp 11213 32 +RTS -N4",9.957158330068852,9.944759765082475,9.965888172451534,1.3150167697781615e-2,0.0,1.5120530548869594e-2
"bench/./skelrm-eden-cp 11213 32 +RTS -N2",19.084914745831686,19.063463456992185,19.09647236399834,1.8744278260221795e-2,0.0,2.0018381879122162e-2
"bench/./skelrm-eden-cp 11213 32 +RTS -N1",37.694507631438505,37.68726269782968,37.69977040410523,7.973846446016354e-3,0.0,9.11538964745309e-3
"bench/./skelrm-par 11213 32 +RTS -N16",2.938180094136164,2.8155786833270455,3.034940602135494,0.15029939404345763,0.0,0.1675941160210139
"bench/./skelrm-par 11213 32 +RTS -N8",5.841643733869028,5.253356135497895,6.416342571865706,0.9838505435373271,0.0,0.9954075864610415
"bench/./skelrm-par 11213 32 +RTS -N4",10.16666288318571,10.154257552140828,10.17573958922659,1.3775346052437446e-2,0.0,1.572131602816842e-2
"bench/./skelrm-par 11213 32 +RTS -N2",19.33075907812602,19.33042633664,19.330931498437966,2.887335241166249e-4,0.0,2.986407405487148e-4
"bench/./skelrm-par 11213 32 +RTS -N1",37.694507631438505,37.68726269782968,37.69977040410523,7.973846446016354e-3,0.0,9.11538964745309e-3
"bench/./skelrm-mult 11213 32 +RTS -N16",2.9705569351572447,2.7326477555571755,3.1179604127554548,0.22301263698737295,0.0,0.25531031241243957
"bench/./skelrm-mult 11213 32 +RTS -N8",5.2825674128681746,5.280651001944022,5.284336610776529,2.945140379326404e-3,0.0,3.064340665914329e-3
"bench/./skelrm-mult 11213 32 +RTS -N4",10.143813030449085,10.127893562181667,10.154611727923001,1.6205231194320047e-2,0.0,1.870389268038866e-2
"bench/./skelrm-mult 11213 32 +RTS -N2",19.331270219516455,19.32365678260308,19.33806246213936,1.112175827596285e-2,0.0,1.1764509320202397e-2
"bench/./skelrm-mult 11213 32 +RTS -N1",37.694507631438505,37.68726269782968,37.69977040410523,7.973846446016354e-3,0.0,9.11538964745309e-3
"bench/./skelrm-parr-eden-cp 11213 32 +RTS -N16",2.842240838920109,2.8087390388686218,2.8740912654919875,5.379348726634375e-2,0.0,5.516655706523538e-2
"bench/./skelrm-parr-eden-cp 11213 32 +RTS -N8",5.196699012657039,5.161688982262091,5.216963654152895,3.1429548309701835e-2,0.0,3.509938866799151e-2
"bench/./skelrm-parr-eden-cp 11213 32 +RTS -N4",10.010515862730674,10.006263500127105,10.012893621366409,3.7591968794938933e-3,0.0,4.118398765229272e-3
"bench/./skelrm-parr-eden-cp 11213 32 +RTS -N2",19.173673498306044,19.16312408545157,19.18367309918189,1.6863843916347623e-2,0.0,1.7319816772371776e-2
"bench/./skelrm-parr-eden-cp 11213 32 +RTS -N1",37.694507631438505,37.68726269782968,37.69977040410523,7.973846446016354e-3,0.0,9.11538964745309e-3
"bench/./skelrm-parr-mult 11213 32 +RTS -N16",3.2302355328227406,3.1517010517894293,3.280111766597816,7.5091312247113e-2,0.0,8.638817098861372e-2
"bench/./skelrm-parr-mult 11213 32 +RTS -N8",5.543617543212274,5.51269039237043,5.568921014751164,3.985948437834225e-2,0.0,4.382689831323119e-2
"bench/./skelrm-parr-mult 11213 32 +RTS -N4",10.237895301922359,10.204702051451617,10.263135927477036,3.871450091750073e-2,0.0,4.3718045875518266e-2
"bench/./skelrm-parr-mult 11213 32 +RTS -N2",19.385729668420254,19.36599321672898,19.39923512475794,2.0278329686933546e-2,0.0,2.3392136556271464e-2
"bench/./skelrm-parr-mult 11213 32 +RTS -N1",37.694507631438505,37.68726269782968,37.69977040410523,7.973846446016354e-3,0.0,9.11538964745309e-3
"bench/./skelrm-parr-par 11213 32 +RTS -N16",2.953749899096819,2.895640846437031,3.003050498303337,7.887729523185803e-2,0.0,8.539114266927932e-2
"bench/./skelrm-parr-par 11213 32 +RTS -N8",5.283345473792022,5.278726448678847,5.286262516616659,4.395836892613931e-3,0.0,5.0524663801243715e-3
"bench/./skelrm-parr-par 11213 32 +RTS -N4",10.168913578683336,10.14776483932715,10.18412406562125,2.299769839545344e-2,0.0,2.6345336184330333e-2
"bench/./skelrm-parr-par 11213 32 +RTS -N2",19.35584576796992,19.349200822508152,19.36020537864324,6.541969974491509e-3,0.0,7.551067187408115e-3
"bench/./skelrm-parr-par 11213 32 +RTS -N1",37.694507631438505,37.68726269782968,37.69977040410523,7.973846446016354e-3,0.0,9.11538964745309e-3
"bench/./skelrm-eden-cp 11213 64 +RTS -N16",5.520643344528177,5.450042975182739,5.564933983683112,6.68263687473381e-2,0.0,7.671363731604497e-2
"bench/./skelrm-eden-cp 11213 64 +RTS -N8",10.315371882342662,10.283940148913738,10.341241471859162,4.0851538287141165e-2,0.0,4.480744341352877e-2
"bench/./skelrm-eden-cp 11213 64 +RTS -N4",19.888919217270313,19.874641404534785,19.898284001981384,1.4052856007800677e-2,0.0,1.6220282921521147e-2
"bench/./skelrm-eden-cp 11213 64 +RTS -N2",38.1703784021512,38.15675995135885,38.180633946892186,1.568409081603012e-2,0.0,1.7763124550682786e-2
"bench/./skelrm-eden-cp 11213 64 +RTS -N1",75.42391781495101,75.41959763076294,75.42630409705623,3.802426969005129e-3,0.0,4.13316184744256e-3
"bench/./skelrm-par 11213 64 +RTS -N16",6.065910634032586,5.476275255998783,6.617413855836841,0.9239802887252248,0.0,0.955231600702898
"bench/./skelrm-par 11213 64 +RTS -N8",11.379987394609417,10.519144117927366,13.076329165185896,1.4691297224736641,0.0,1.4763914754023981
"bench/./skelrm-par 11213 64 +RTS -N4",20.246230512822702,20.21763695874354,20.26432700298081,2.7260482006130463e-2,0.0,3.1344040392516904e-2
"bench/./skelrm-par 11213 64 +RTS -N2",38.641000895726215,38.636437710422186,38.64374911752194,4.192455117117383e-3,0.0,4.760059780667497e-3
"bench/./skelrm-par 11213 64 +RTS -N1",75.42391781495101,75.41959763076294,75.42630409705623,3.802426969005129e-3,0.0,4.13316184744256e-3
"bench/./skelrm-mult 11213 64 +RTS -N16",5.687876554067796,5.6069102642146875,5.7379099468557895,7.574642022807072e-2,0.0,8.666037838385504e-2
"bench/./skelrm-mult 11213 64 +RTS -N8",10.562915717113382,10.530915235543128,10.582420159815626,2.9640141619591862e-2,0.0,3.37826857336029e-2
"bench/./skelrm-mult 11213 64 +RTS -N4",20.26406687887844,20.25019769128549,20.273686830638724,1.4462575839398523e-2,0.0,1.6662245215170016e-2
"bench/./skelrm-mult 11213 64 +RTS -N2",38.66655702078346,38.642092863782125,38.68224876102541,2.3592256518120084e-2,0.0,2.7178891358243636e-2
"bench/./skelrm-mult 11213 64 +RTS -N1",75.42391781495101,75.41959763076294,75.42630409705623,3.802426969005129e-3,0.0,4.13316184744256e-3
"bench/./skelrm-parr-eden-cp 11213 64 +RTS -N16",5.508958057258724,5.440400254044807,5.5725153672991645,0.1060196023842691,1.0877919644084146e-15,0.11008449018244987
"bench/./skelrm-parr-eden-cp 11213 64 +RTS -N8",10.328909445726241,10.315184315761739,10.336181911175347,1.194975145939944e-2,0.0,1.2596279654140835e-2
"bench/./skelrm-parr-eden-cp 11213 64 +RTS -N4",19.970842943285106,19.967849075889404,19.973295846385984,3.866177567444036e-3,0.0,4.248552796765189e-3
"bench/./skelrm-parr-eden-cp 11213 64 +RTS -N2",38.368488510311515,38.35542148733717,38.37883505624223,1.609078624767623e-2,0.0,1.792074323485732e-2
"bench/./skelrm-parr-eden-cp 11213 64 +RTS -N1",75.42391781495101,75.41959763076294,75.42630409705623,3.802426969005129e-3,0.0,4.13316184744256e-3
"bench/./skelrm-parr-mult 11213 64 +RTS -N16",5.910559392499459,5.891380071687606,5.938271197243409,2.4582450559517507e-2,0.0,2.7072603962247206e-2
"bench/./skelrm-parr-mult 11213 64 +RTS -N8",10.750287765705783,10.747456763034874,10.7517693037128,2.459711298087946e-3,0.0,2.5660991014953482e-3
"bench/./skelrm-parr-mult 11213 64 +RTS -N4",20.391006096438435,20.381397865807827,20.39871943458109,1.2058638771469758e-2,0.0,1.3359893559035996e-2
"bench/./skelrm-parr-mult 11213 64 +RTS -N2",38.70899615712715,38.68530104691368,38.7296483773853,3.344836082497214e-2,0.0,3.577069477621426e-2
"bench/./skelrm-parr-mult 11213 64 +RTS -N1",75.42391781495101,75.41959763076294,75.42630409705623,3.802426969005129e-3,0.0,4.13316184744256e-3
"bench/./skelrm-parr-par 11213 64 +RTS -N16",5.595614134920172,5.590825621133857,5.599094756828311,5.274381359295523e-3,0.0,6.028613986834446e-3
"bench/./skelrm-parr-par 11213 64 +RTS -N8",10.550262476903729,10.529356023344306,10.564693331585515,2.16841777310201e-2,0.0,2.499497350549609e-2
"bench/./skelrm-parr-par 11213 64 +RTS -N4",20.315051973762646,20.27540553552201,20.35252022089412,6.309519134219096e-2,0.0,6.489690770226342e-2
"bench/./skelrm-parr-par 11213 64 +RTS -N2",38.67941634032713,38.66566434633123,38.68848203689341,1.3601141935275448e-2,0.0,1.5702247058806622e-2
"bench/./skelrm-parr-par 11213 64 +RTS -N1",75.42391781495101,75.41959763076294,75.42630409705623,3.802426969005129e-3,0.0,4.13316184744256e-3
