Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./torus_matrix_eden_sm 512 +RTS -N16",1.292721185245192,1.256827014027262,1.312355481508156,3.149466246342809e-2,0.0,3.400759869831277e-2
"bench/./torus_matrix_eden_sm 512 +RTS -N8",1.6686816358646512,1.6594081730526924,1.676429976858918,1.2314092027546245e-2,0.0,1.3420520276438657e-2
"bench/./torus_matrix_eden_sm 512 +RTS -N4",2.7107072195573743,2.689162606252897,2.7285216775546126,2.8186075142214523e-2,0.0,3.085554636051905e-2
"bench/./torus_matrix_eden_sm 512 +RTS -N2",4.7955891138478215,4.7892045098082905,4.800292951564953,7.1508767319753115e-3,0.0,8.1472859166308e-3
"bench/./torus_matrix_eden_sm 512 +RTS -N1",8.83456680513065,8.829003080605137,8.837720183054204,4.9455523374851845e-3,0.0,5.461810779061008e-3
"bench/./torus_matrix_parrows_eden_sm 512 +RTS -N16",1.310269045779847,1.2111907935025534,1.3616772720444006,8.598730646594444e-2,2.7194799110210365e-16,8.904165981720373e-2
"bench/./torus_matrix_parrows_eden_sm 512 +RTS -N8",1.7082141435309346,1.6936469764832023,1.7203336178611106,1.922561639746274e-2,0.0,2.0991545300891905e-2
"bench/./torus_matrix_parrows_eden_sm 512 +RTS -N4",2.7317570294064706,2.717548709121681,2.742894649047857,1.7257648558143365e-2,0.0,1.929092309425775e-2
"bench/./torus_matrix_parrows_eden_sm 512 +RTS -N2",4.855645070609692,4.851775474685653,4.858857148746928,5.090513851814967e-3,0.0,5.563482531574089e-3
"bench/./torus_matrix_parrows_eden_sm 512 +RTS -N1",8.867060663832303,8.859577717719699,8.87359602174483,1.0594715437506612e-2,0.0,1.1319571950146061e-2
"bench/./torus_matrix_parrows_multicore 512 +RTS -N16",3.632145744574311,3.585436854270435,3.655594975540246,4.045208504168231e-2,0.0,4.0615259431416494e-2
"bench/./torus_matrix_parrows_multicore 512 +RTS -N8",3.115658810084637,3.103437700188327,3.126784578579299,1.8395324068274353e-2,0.0,1.9270396306003103e-2
"bench/./torus_matrix_parrows_multicore 512 +RTS -N4",2.8254317104524134,2.81123023642335,2.835286940093708,1.4817100429120251e-2,0.0,1.706975845898091e-2
"bench/./torus_matrix_parrows_multicore 512 +RTS -N2",5.086299190330581,5.063780876336717,5.103231564624334,2.588386368603441e-2,0.0,2.9327732569552956e-2
"bench/./torus_matrix_parrows_multicore 512 +RTS -N1",8.728645308390005,8.702887985734808,8.742745727113151,2.26056181728148e-2,0.0,2.442264163648321e-2
"bench/./torus_matrix_parrows_parmonad 512 +RTS -N16",3.5955096816765693,3.5549792700830465,3.620265187548305,3.759655370941738e-2,0.0,4.2877793936915765e-2
"bench/./torus_matrix_parrows_parmonad 512 +RTS -N8",3.1120591753801463,3.092615188910234,3.1266387545740923,2.226918789543863e-2,0.0,2.525257191688812e-2
"bench/./torus_matrix_parrows_parmonad 512 +RTS -N4",2.8072223969960306,2.7809558956609846,2.825240997176335,2.70600550266671e-2,0.0,3.120913099355637e-2
"bench/./torus_matrix_parrows_parmonad 512 +RTS -N2",4.924078820513099,4.900837857035136,4.9375632942039305,2.0889638137293467e-2,0.0,2.3355793545846493e-2
"bench/./torus_matrix_parrows_parmonad 512 +RTS -N1",8.857035929370001,8.853209499149191,8.86038229016257,5.428290255025176e-3,0.0,5.796066913187124e-3
