Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N16",0.7450273588766795,0.7416623004785081,0.7472453053433324,3.327575449333938e-3,0.0,3.8415959687106774e-3
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N8",1.1385186361409037,1.1326107093708069,1.1426499792570861,6.217210493636677e-3,0.0,7.155696180727827e-3
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N4",1.964848796345639,1.9636868964643182,1.9666466833667309,1.5790643933637966e-3,0.0,1.7088337648519124e-3
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N2",3.5564835158747243,3.550433113204077,3.5614760957667317,7.892447961526675e-3,0.0,8.647402033802803e-3
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N1",6.5843685507620515,6.583770359382846,6.584809625282673,6.70668763795093e-4,0.0,7.639634796383679e-4
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N16",0.8090836933763632,0.8029724829652086,0.8148249370867545,9.639712502139599e-3,0.0,9.944125805032875e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N8",1.1537831288298113,1.151026430987634,1.1554051015455906,2.4967399193456252e-3,0.0,2.809339152220183e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N4",1.8551307036284086,1.8457086626202763,1.8637547380984725,1.4296371821271369e-2,0.0,1.4937265868376105e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N2",3.2382314915304526,3.2313963652661344,3.2427372691545515,6.759963780308955e-3,0.0,7.804235772546229e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N1",6.5843685507620515,6.583770359382846,6.584809625282673,6.70668763795093e-4,0.0,7.639634796383679e-4
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N16",0.7167330917438012,0.7159499460474997,0.7172888425084368,8.381988908240843e-4,0.0,9.625885606942699e-4
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N8",1.113666833714824,1.1091199074693696,1.1167101855590476,4.56513543091448e-3,0.0,5.271240019504083e-3
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N4",1.9656568205037193,1.9525794265435488,1.9748557206666222,1.3854739382499802e-2,0.0,1.5932962455901614e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N2",3.6083071807452516,3.5919343670473847,3.620565991518473,1.8716624556574645e-2,0.0,2.1232883099591673e-2
