Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N32",0.7262386652277878,0.6992258231477305,0.7430361248296923,2.5391901096085048e-2,0.0,2.9094053468584128e-2
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N16",0.7507639534097881,0.7370285438181777,0.7591778290373359,1.2767611587738788e-2,0.0,1.4573260075478272e-2
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N8",1.1404864362284843,1.1393847460570663,1.1411753728722382,1.040151157754835e-3,0.0,1.193273270177756e-3
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N4",1.9713967966690962,1.964508849797827,1.9773380212090685,9.576493449019608e-3,0.0,1.029050276240717e-2
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N2",3.5583882279641403,3.5441718334140204,3.5680075081911955,1.4433615064484876e-2,0.0,1.666108208550248e-2
"bench/./parmonad-sudoku sudoku17.1000.txt +RTS -N1",6.772516309340493,6.768429550095038,6.7758184644790616,5.1756007420613705e-3,0.0,5.719500474472981e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N32",0.6870437940736914,0.6797996561364695,0.6931480140615295,9.736930418790686e-3,0.0,1.0572819159512858e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N16",0.8904710318426594,0.8549570001052186,0.9106318667410602,3.15901875751482e-2,0.0,3.4919590367037935e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N8",1.2372422852190308,1.2358349146964878,1.2397334237904711,2.1634482145006435e-3,0.0,2.2508052748495037e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N4",2.005788588953214,1.9971825340570826,2.0092122495603384,7.906181760176373e-3,0.0,8.976170213415074e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N2",3.537582626933552,3.532924292114648,3.5399193957598527,4.034300744565703e-3,0.0,4.047402332695588e-3
"bench/./parrows-sudoku-parmap-eden sudoku17.1000.txt +RTS -N1",6.649212319978108,6.643641806644472,6.652111425383224,4.836281414172321e-3,1.0877919644084146e-15,5.021397858156846e-3
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N32",0.7745148472849168,0.7290396302125672,0.808027661386313,5.095038783550118e-2,0.0,5.804589672822889e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N16",0.7170512972760834,0.7084915249726991,0.7232168077609757,9.324831824110666e-3,0.0,1.0678977414432082e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N8",1.1109972229381704,1.1077390394495292,1.113912593133823,4.780421531987462e-3,0.0,5.049569301742283e-3
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N4",1.9477348015694458,1.9408950095386668,1.9530752990688338,8.26350148613019e-3,0.0,9.250013006634993e-3
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N2",3.5952238358297586,3.573868095380339,3.6065344393817766,1.8591769705399604e-2,0.0,1.9590540016364573e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.1000.txt +RTS -N1",6.675633668956356,6.67282145420936,6.677468362093123,2.7540126444336737e-3,0.0,3.1777817291766663e-3
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N32",0.7575151511104873,0.7237925133380024,0.7857117217323847,4.4825256395772055e-2,0.0,4.8837892916330394e-2
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N16",0.7257390225667395,0.7220744363150815,0.7286672787548919,4.569694694689811e-3,0.0,5.071888495457927e-3
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N8",1.091491298392942,1.0874138620179712,1.093709230093342,3.5718584648403873e-3,0.0,3.8415703928104394e-3
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N4",1.8797669975241327,1.8700519590350717,1.8976568613630354,1.5512204397164586e-2,0.0,1.5937697790003136e-2
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N2",3.4137733648581943,3.4065738043866376,3.4182747226637424,6.796383763922642e-3,0.0,7.7965804222564295e-3
"bench/./parrows-sudoku-parmap-par sudoku17.1000.txt +RTS -N1",6.498678437490956,6.493078292100267,6.501264035676164,4.8923629400464685e-3,1.0877919644084146e-15,5.2213489217113294e-3
"bench/./sudoku-seq sudoku17.1000.txt",6.566110141528676,6.565685148787769,6.56634872407549,3.762824999136634e-4,0.0,4.132370928797586e-4
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N32",10.926243466899324,10.760322490459815,11.083971072790598,0.2663802259574466,0.0,0.27319222715988545
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N16",11.180910578675267,11.159911022502364,11.192357167271952,1.8406631165827393e-2,0.0,1.98260730227998e-2
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N8",16.875145039267537,16.81947849666192,16.912154828483107,5.551530692769531e-2,0.0,6.41028352987808e-2
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N4",28.71087917877455,28.70746963235465,28.714222663918306,5.73473158133013e-3,0.0,5.791086143330081e-3
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N2",51.89153455938203,51.81448420646516,51.93100953040852,6.678837212385214e-2,8.702335715267317e-15,6.837265544517511e-2
"bench/./parmonad-sudoku sudoku17.16000.txt +RTS -N1",98.16947221968623,98.130188920972,98.19446491546778,3.7617634813090314e-2,0.0,4.328861891174692e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N32",8.38083566389451,8.2960219802143,8.437242444503037,8.461090517321414e-2,0.0,9.769940990535628e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N16",11.190418963273892,11.131479657856802,11.226783182059952,5.507446472605571e-2,0.0,6.298467451500386e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N8",17.386761845042837,17.368019636473196,17.39687793911783,1.6384378982373465e-2,0.0,1.7521588912033582e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N4",29.473362863844994,29.39081384564665,29.537096910600862,9.823763428496039e-2,0.0,0.11039060715313291
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N2",51.60469023785544,51.556391814229166,51.63347453593794,4.4078447296912064e-2,0.0,4.985586673908346e-2
"bench/./parrows-sudoku-parmap-eden sudoku17.16000.txt +RTS -N1",96.69826378627256,96.68205543862148,96.7143283577173,2.7700979630407355e-2,1.7404671430534633e-14,2.782465394410044e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.16000.txt +RTS -N32",81.55728178766753,80.67825887567618,82.31234859571877,1.214778820095433,0.0,1.3078140746535873
"bench/./parrows-sudoku-parmap-mult sudoku17.16000.txt +RTS -N16",70.91267616493721,70.81879146906462,70.9768155272098,9.629323864145854e-2,0.0,0.11109263422119066
"bench/./parrows-sudoku-parmap-mult sudoku17.16000.txt +RTS -N8",69.35421917789813,69.17767755451527,69.44999378788651,0.15453792896866597,0.0,0.16588649057497962
"bench/./parrows-sudoku-parmap-mult sudoku17.16000.txt +RTS -N4",72.58458166585501,72.20886109612205,72.84409647238526,0.3899792227338572,0.0,0.4494928302267809
"bench/./parrows-sudoku-parmap-mult sudoku17.16000.txt +RTS -N2",81.52708129983695,81.44891007219864,81.57772572667159,7.606254694526333e-2,0.0,8.77187203977797e-2
"bench/./parrows-sudoku-parmap-mult sudoku17.16000.txt +RTS -N1",99.87880400998198,99.81789090739055,99.91272027746595,5.376366129101662e-2,0.0,5.874469848533946e-2
"bench/./parrows-sudoku-parmap-par sudoku17.16000.txt +RTS -N32",10.977207253743904,10.767165274340094,11.102163692834703,0.19148113252991072,0.0,0.21643090123814973
"bench/./parrows-sudoku-parmap-par sudoku17.16000.txt +RTS -N16",10.909389017206626,10.82740866484064,10.979299097220329,0.11210633866439515,0.0,0.12108781054493921
"bench/./parrows-sudoku-parmap-par sudoku17.16000.txt +RTS -N8",16.197351104533208,16.16559627619205,16.217039997049355,2.978293381856337e-2,0.0,3.410216218273076e-2
"bench/./parrows-sudoku-parmap-par sudoku17.16000.txt +RTS -N4",27.489499661093486,27.463155313831837,27.50278718304717,2.2817498145106616e-2,0.0,2.3014663130470424e-2
"bench/./parrows-sudoku-parmap-par sudoku17.16000.txt +RTS -N2",49.955246152516565,49.88672425440766,49.991931237799655,5.978566566017458e-2,0.0,6.354043159030391e-2
